citation_item,item_count,frequency
"KK Choong, 2013, 10.1108/14637151311319941",2,0.26
"W Bandara, 2015, 10.1007/978-3-642-45103-4_12",2,0.26
"S Gregor, 2013, 10.25300/MISQ/2013/37.2.01",2,0.26
"TW Malone, 1994, 10.1145/174666.174668",2,0.26
"AWJC Abeygunasekera, 2018, 10.1108/BPMJ-12-2016-0235",2,0.26
"P Kueng, 2000, 10.1080/0954412007035",2,0.26
10.1007/978-3-642-29863-9_31,2,0.26
10.1007/978-3-030-26619-6_4,2,0.26
"JF Wolfswinkel, 2013, 10.1057/ejis.2011.51",2,0.26
10.1145/1101779.1101809,2,0.26
"D Tranfield, 2003, 10.1111/1467-8551.00375",2,0.26
"Supporting performance management with business process management and business intelligence: a case analysis of integration and orchestration, 2013, 10.1016/j.ijinfomgt.2013.03.008",2,0.26
"Influence of strategic approach to BPM on financial and non-financial performance, 2012, 10.1108/17465261211272148",2,0.26
10.4018/978-1-5225-3468-6.ch012,2,0.26
1996,2,0.26
"A Behl, 2019, 10.1007/s10479-018-2806-2",2,0.26
"A Polyvyanyy, 2019, 10.1007/978-3-030-21290-2_13",2,0.26
"FM Maggi, 2011, 10.1007/978-3-642-23059-2_13",2,0.26
"PP Maglio, 2009, 10.1007/s10257-008-0105-1",2,0.26
"I Thomas, 1992, 10.1109/52.120599",2,0.26
"M Montali, 2010, 10.1007/978-3-642-14538-4",2,0.26
"FM Maggi, 2012, 10.1007/978-3-642-29860-8_11",2,0.26
10.1145/2347736.2347755,2,0.26
10.1006/jcss.1997.1504,2,0.26
"B Mutschler, 2008, 10.1109/TSMCC.2008.919197",2,0.26
"D Grigori, 2004, 10.1016/j.compind.2003.10.007",2,0.26
10.1147/sj.423.0428,2,0.26
"S Gregor, 2006, 10.2307/25148742",2,0.26
"P Zerbino, 2021, 10.1016/j.techfore.2021.121021",2,0.26
2018,2,0.26
10.1111/radm.12181,2,0.26
"FM Maggi, 2020, 10.1007/978-3-030-58666-9_3",2,0.26
10.1609/aaai.v34i06.6583,2,0.26
"S Aguirre, 2017, 10.1007/978-3-319-66963-2_7",2,0.26
"H Kir, 2021, 10.1016/j.is.2020.101639",2,0.26
