item,count,f
"Nielsen, 2009, 10.1177/1046496409339630",1,0.13
"OH, 2006, 10.2753/mis0742-1222220410",1,0.13
"Oertwig, 2019, 10.1016/j.promfg.2019.04.055",1,0.13
"Okoli, 2018, 10.17705/1cais.03743",1,0.13
"Olafsson, 2003, 10.1109/wsc.2002.1172871",1,0.13
"Olalla, 2006, 10.1007/bf02294975",1,0.13
"Omar, 2019, 10.1021/acs.iecr.9b01984",1,0.13
"Onan, 2019, 10.1109/access.2019.2945911",1,0.13
"Ordóñez de Pablos, 2010, 10.1002/hfm.20202",1,0.13
"Ota, 2010, 10.1007/978-3-540-30103-5_15",1,0.13
"Ouf, 2013, 10.7763/ijcte.2011.v3.404",1,0.13
"Pahl, 2006, 10.1007/s10009-006-0015-9",1,0.13
"Palpanas, 2007, 10.1016/b978-155860869-6/50076-7",1,0.13
"Pang, 2021, 10.1145/3439950",1,0.13
"Panwalkar, 2008, 10.1287/opre.25.1.45",1,0.13
"Papazoglou, 2007, 10.1007/3-540-36189-8_12",1,0.13
"Papazoglou, 2007, 10.1109/mc.2007.400",1,0.13
"Parasuraman, 2018, 10.2307/1251430",1,0.13
"Parshukov, 2020, 10.1088/1755-1315/548/2/022092",1,0.13
"Peffers, 2008, 10.2753/mis0742-1222240302",1,0.13
"Peleg, 2003, 10.1197/jamia.m1135",1,0.13
"Pereira, 2004, 10.1145/967900.968175",1,0.13
"Pereira, 2005, 10.1145/1066677.1066980",1,0.13
"Petrinja, 2011, 10.1007/978-3-642-24418-6_16",1,0.13
"Pidun, 2012, 10.1109/hicss.2012.608",1,0.13
"Pistore, 2010, 10.1007/978-3-540-30106-6_11",1,0.13
"Plattfaut, 2022, 10.1016/j.compind.2022.103646",1,0.13
"Poljanskihh, 2018, 10.1051/matecconf/201819305065",1,0.13
"Poria, 2017, 10.1016/j.inffus.2017.02.003",1,0.13
"Pradhan, 2017, 10.1108/jeim-01-2016-0026",1,0.13
"Prajogo, 2007, 10.1108/01443570510626916",1,0.13
"Prasanna, 2018, 10.1080/00207543.2018.1475762",1,0.13
"Prikladnicki, 2007, 10.1109/icgse.2007.19",1,0.13
"Pufahl, 2013, 10.1007/978-3-642-45005-1_20",1,0.13
"Quesado, 2022, 10.3390/admsci12010038",1,0.13
"RUIZ–CORTÉS, 2005, 10.1142/s0218843005001225",1,0.13
"Rajaraman, 2003, 10.1145/212433.220199",1,0.13
"Ramík, 2007, 10.1016/j.fss.2007.04.003",1,0.13
"Rayport, 2005, 10.1002/dir.20050",1,0.13
"Recker, 2006, 10.1007/11767138_25",1,0.13
"Reijers, 2005, 10.1016/j.ijinfomgt.2005.06.008",1,0.13
"Rezagholi, 2010, 10.1524/9783486594928",1,0.13
"Riecken, 2002, 10.1145/176789.176790",1,0.13
"Rigopoulos, 2007, 10.1109/ams.2007.40",1,0.13
"Roberts, 2003, 10.1016/0951-5240(92)90016-6",1,0.13
"Robinson, 2002, 10.1145/321250.321253",1,0.13
"Rodrigue, 2024, 10.18235/0009007",1,0.13
"Rodriguez, 2010, 10.1109/mic.2010.59",1,0.13
"Rosyidah, 2022, 10.1016/j.matpr.2022.03.158",1,0.13
"Rotaru, 2009, 10.1007/s10257-009-0125-5",1,0.13
"Roy, 2007, 10.3115/1220175.1220268",1,0.13
"Rozinat, 2007, 10.1016/j.is.2007.07.001",1,0.13
"Rozinat, 2008, 10.1007/978-3-540-85758-7_16",1,0.13
"Rozinat, 2008, 10.1016/j.is.2008.09.002",1,0.13
"Saaty, 2005, 10.1016/0022-2496(77)90033-5",1,0.13
"Saaty, 2012, 10.1007/978-1-4614-3597-6",1,0.13
"Sahoo, 2019, 10.1108/tqm-04-2019-0092",1,0.13
"Said, 2021, 10.1007/s11356-021-14286-7 10.57945/manara.21597558 10.57945/manara.21597558.v1",1,0.13
"Salimifard, 2002, 10.1016/s0377-2217(00)00292-7",1,0.13
"Samsonowa, 2011, 10.1007/978-3-7908-2762-0",1,0.13
"San Cristobal Mateo, 2019, 10.1109/access.2019.2953185",1,0.13
"Sangaiah, 2019, 10.1007/s00500-019-04266-y",1,0.13
"Santini, 2007, 10.1108/17511060710817249",1,0.13
"Satyal, 2017, 10.1007/978-3-319-65000-5_7",1,0.13
"Scheer, 2012, 10.1007/978-3-642-97389-5",1,0.13
"Scheer, 2012, 10.1007/978-3-642-97998-9",1,0.13
"Scheer, 2013, 10.1007/978-3-642-97333-8",1,0.13
"Schiefer, 2010, 10.1007/978-3-540-45227-0_74",1,0.13
"Seeliger, 2018, 10.1007/978-3-319-98648-7_17",1,0.13
"Sehic, 2011, 10.1145/1988051.1988053",1,0.13
